timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,sim,sim_traversal
7254,1,4,1,1,4,3,9,0,0,25,9,184,3,1,0.3333333333333333,8,1,184
7372,2,4,1,1,4,3,9,0,0,19,3,187,3,1,0.3333333333333333,8,1,187
7375,4,2,2,1,4,3,9,19,3,20,4,186,4,2,0.5,12,1,186
7396,4,2,2,1,4,3,9,19,3,20,4,187,4,2,0.5,12,1,187
7427,4,2,2,1,4,3,9,19,3,20,4,188,4,2,0.5,12,1,188
7491,4,2,1,1,4,3,9,3,3,20,4,189,4,2,0.5,12,1,189
7648,4,2,1,1,4,3,9,3,3,16,0,193,3,2,0.6666666666666666,12,1,193
7800,1,4,1,1,4,3,9,0,0,29,13,195,4,1,0.25,8,1,195
7839,1,2,1,1,4,3,9,3,3,29,13,196,5,2,0.4,12,1,196
7957,4,2,1,1,4,3,9,3,3,16,0,199,3,2,0.6666666666666666,12,1,199
8003,2,4,1,1,4,3,9,0,0,26,10,201,4,1,0.25,8,1,201
8113,0,4,1,1,4,3,9,0,0,17,1,203,1,1,1.0,8,1,203
8121,4,0,2,1,4,3,11,17,1,20,4,203,2,0,0.0,4,1,203
8174,0,1,3,1,4,3,9,20,4,17,1,203,2,2,1.0,12,1,203
8178,0,2,1,1,4,3,9,3,3,17,1,205,2,2,1.0,12,1,205
8186,4,0,2,1,4,3,12,17,1,20,4,205,2,0,0.0,4,1,205
8205,2,4,1,1,4,3,9,0,0,18,2,206,2,1,0.5,8,1,206
8221,4,2,2,1,4,3,9,18,2,20,4,206,3,1,0.3333333333333333,8,1,206
8238,0,1,3,1,4,3,9,20,4,17,1,205,2,2,1.0,12,1,205
8241,0,1,1,1,4,3,10,15,15,17,1,207,5,5,1.0,24,1,207
8249,4,0,2,1,4,3,9,17,1,20,4,207,2,0,0.0,4,1,207
8293,4,2,2,1,4,3,9,18,2,20,4,208,3,1,0.3333333333333333,8,1,208
8302,0,1,3,1,4,3,9,20,4,17,1,207,2,2,1.0,12,1,207
8340,2,4,1,1,4,3,9,0,0,23,7,209,4,1,0.25,8,1,209
8373,4,2,2,1,4,3,9,18,2,20,4,210,3,1,0.3333333333333333,8,1,210
8514,4,2,1,1,4,3,9,3,3,24,8,214,5,2,0.4,12,1,214
8548,2,4,1,1,4,3,9,0,0,27,11,215,5,1,0.2,8,1,215
8732,1,4,5,1,1,3,9,0,0,25,9,220,3,1,0.3333333333333333,8,1,220
8739,1,4,5,2,2,3,9,0,0,25,9,220,3,1,0.3333333333333333,15,1,220
8746,1,4,5,3,2,3,9,0,0,25,9,220,3,1,0.3333333333333333,22,1,220
8750,4,2,1,1,4,3,9,3,3,24,8,221,5,2,0.4,12,1,221
8753,1,4,5,4,2,3,9,0,0,25,9,220,3,1,0.3333333333333333,29,1,220
8760,1,4,5,5,3,3,9,0,0,25,9,220,3,1,0.3333333333333333,36,1,220
8761,1,4,1,1,4,3,10,0,0,25,9,222,3,1,0.3333333333333333,36,1,222
8852,1,2,5,1,1,3,9,3,3,25,9,224,4,2,0.5,12,1,224
8859,1,2,5,2,2,3,9,3,3,25,9,224,4,2,0.5,19,1,224
8866,1,2,5,3,2,3,9,3,3,25,9,224,4,2,0.5,26,1,224
8873,1,2,5,4,2,3,9,3,3,25,9,224,4,2,0.5,33,1,224
8880,1,2,5,5,3,3,9,3,3,25,9,224,4,2,0.5,40,1,224
8881,1,2,1,1,4,3,10,3,3,25,9,225,4,2,0.5,40,1,225
8931,2,4,1,1,4,3,9,0,0,30,14,227,5,1,0.2,8,1,227
9051,2,4,1,1,4,3,9,0,0,31,15,229,6,1,0.16666666666666666,8,1,229
9203,0,4,5,1,1,3,9,0,0,17,1,233,1,1,1.0,8,1,233
9210,0,4,5,2,2,3,9,0,0,17,1,233,1,1,1.0,15,1,233
9217,0,4,5,3,2,3,9,0,0,17,1,233,1,1,1.0,22,1,233
9224,0,4,5,4,2,3,9,0,0,17,1,233,1,1,1.0,29,1,233
9231,0,4,5,5,3,3,9,0,0,17,1,233,1,1,1.0,36,1,233
9232,0,4,1,1,4,3,10,0,0,17,1,235,1,1,1.0,36,1,235
9239,4,0,6,1,1,3,10,17,1,20,4,233,2,0,0.0,4,1,233
9246,4,0,6,2,2,3,10,17,1,20,4,233,2,0,0.0,11,1,233
9253,4,0,6,3,2,3,10,17,1,20,4,233,2,0,0.0,18,1,233
9260,4,0,6,4,2,3,10,17,1,20,4,233,2,0,0.0,25,1,233
9267,4,0,6,5,3,3,10,17,1,20,4,233,2,0,0.0,32,1,233
9268,4,0,2,1,4,3,11,17,1,20,4,235,2,0,0.0,32,1,235
9288,4,0,7,1,4,3,12,17,1,0,0,233,1,0,0.0,4,1,233
9312,0,2,5,1,1,3,9,3,3,17,1,236,2,2,1.0,12,1,236
9319,0,2,5,2,2,3,9,3,3,17,1,236,2,2,1.0,19,1,236
9320,0,1,3,1,4,3,9,20,4,17,1,235,2,2,1.0,12,1,235
9326,0,2,5,3,2,3,9,3,3,17,1,236,2,2,1.0,26,1,236
9333,0,2,5,4,2,3,9,3,3,17,1,236,2,2,1.0,33,1,236
9340,0,2,5,5,3,3,9,3,3,17,1,236,2,2,1.0,40,1,236
9341,0,2,1,1,4,3,10,3,3,17,1,238,2,2,1.0,40,1,238
9342,0,1,5,1,1,3,9,15,15,17,1,237,5,5,1.0,24,1,237
9348,4,0,6,1,1,3,9,17,1,20,4,236,2,0,0.0,4,1,236
9349,0,1,5,2,2,3,9,15,15,17,1,237,5,5,1.0,31,1,237
9355,4,0,6,2,2,3,9,17,1,20,4,236,2,0,0.0,11,1,236
9356,0,1,5,3,2,3,9,15,15,17,1,237,5,5,1.0,38,1,237
9362,4,0,6,3,2,3,9,17,1,20,4,236,2,0,0.0,18,1,236
9363,0,1,5,4,2,3,9,15,15,17,1,237,5,5,1.0,45,1,237
9365,2,4,1,1,4,3,9,0,0,18,2,240,2,1,0.5,8,1,240
9369,4,0,6,4,2,3,9,17,1,20,4,236,2,0,0.0,25,1,236
9370,0,1,5,5,3,3,9,15,15,17,1,237,5,5,1.0,52,1,237
9371,0,1,1,1,4,3,10,15,15,17,1,239,5,5,1.0,52,1,239
9376,4,0,6,5,3,3,9,17,1,20,4,236,2,0,0.0,32,1,236
9377,4,0,2,1,4,3,10,17,1,20,4,238,2,0,0.0,32,1,238
9378,2,0,7,1,4,3,11,17,1,3,3,236,2,0,0.0,6,1,236
9379,4,0,6,1,1,3,12,17,1,20,4,237,2,0,0.0,5,1,237
9381,4,2,2,1,4,3,9,18,2,20,4,240,3,1,0.3333333333333333,8,1,240
9386,4,0,6,2,2,3,12,17,1,20,4,237,2,0,0.0,12,1,237
9393,4,0,6,3,2,3,12,17,1,20,4,237,2,0,0.0,19,1,237
9400,4,0,6,4,2,3,12,17,1,20,4,237,2,0,0.0,26,1,237
9407,4,0,6,5,3,3,12,17,1,20,4,237,2,0,0.0,33,1,237
9408,4,0,2,1,4,3,9,17,1,20,4,239,2,0,0.0,29,1,239
9409,2,0,7,1,4,3,10,17,1,15,15,237,5,0,0.0,7,1,237
9432,0,1,3,1,4,3,9,20,4,17,1,238,2,2,1.0,14,1,238
9478,0,1,3,1,4,3,9,20,4,17,1,239,2,2,1.0,12,1,239
9485,2,4,5,1,1,3,9,0,0,26,10,241,4,1,0.25,8,1,241
9492,2,4,5,2,2,3,9,0,0,26,10,241,4,1,0.25,15,1,241
9498,4,2,2,1,4,3,9,18,2,20,4,242,3,1,0.3333333333333333,8,1,242
9499,2,4,5,3,2,3,9,0,0,26,10,241,4,1,0.25,22,1,241
9506,2,4,5,4,2,3,9,0,0,26,10,241,4,1,0.25,29,1,241
9513,2,4,5,5,3,3,9,0,0,26,10,241,4,1,0.25,36,1,241
9514,2,4,1,1,4,3,10,0,0,26,10,243,4,1,0.25,36,1,243
9563,4,2,2,1,4,3,9,18,2,20,4,244,3,1,0.3333333333333333,8,1,244
9659,2,4,1,1,4,3,9,0,0,19,3,247,3,1,0.3333333333333333,8,1,247
9683,4,2,2,1,4,3,9,19,3,20,4,247,4,2,0.5,12,1,247
9779,0,4,5,1,1,3,9,0,0,17,1,251,1,1,1.0,8,1,251
9786,0,4,5,2,2,3,9,0,0,17,1,251,1,1,1.0,15,1,251
9789,4,2,2,1,4,3,9,19,3,20,4,250,4,2,0.5,12,1,250
9793,0,4,5,3,2,3,9,0,0,17,1,251,1,1,1.0,22,1,251
9800,0,4,5,4,2,3,9,0,0,17,1,251,1,1,1.0,29,1,251
9807,0,4,5,5,3,3,9,0,0,17,1,251,1,1,1.0,36,1,251
9808,0,4,1,1,4,3,10,0,0,17,1,252,1,1,1.0,36,1,252
9815,4,0,6,1,1,3,11,17,1,20,4,251,2,0,0.0,4,1,251
9822,4,0,6,2,2,3,11,17,1,20,4,251,2,0,0.0,11,1,251
9829,4,0,6,3,2,3,11,17,1,20,4,251,2,0,0.0,18,1,251
9836,4,0,6,4,2,3,11,17,1,20,4,251,2,0,0.0,25,1,251
9843,4,0,6,5,3,3,11,17,1,20,4,251,2,0,0.0,32,1,251
9844,4,0,2,1,4,3,12,17,1,20,4,252,2,0,0.0,32,1,252
9846,4,0,7,1,4,3,9,17,1,0,0,251,1,0,0.0,4,1,251
9862,4,2,2,1,4,3,9,19,3,20,4,253,4,2,0.5,12,1,253
9896,0,1,3,1,4,3,9,20,4,17,1,252,2,2,1.0,12,1,252
9900,0,2,5,1,1,3,9,3,3,17,1,254,2,2,1.0,12,1,254
9907,0,2,5,2,2,3,9,3,3,17,1,254,2,2,1.0,19,1,254
9914,0,2,5,3,2,3,9,3,3,17,1,254,2,2,1.0,26,1,254
9921,0,2,5,4,2,3,9,3,3,17,1,254,2,2,1.0,33,1,254
9928,0,2,5,5,3,3,9,3,3,17,1,254,2,2,1.0,40,1,254
9929,0,2,1,1,4,3,10,3,3,17,1,255,2,2,1.0,40,1,255
9936,4,0,6,1,1,3,10,17,1,20,4,254,2,0,0.0,4,1,254
9941,2,4,1,1,4,3,9,0,0,18,2,256,2,1,0.5,8,1,256
9943,4,0,6,2,2,3,10,17,1,20,4,254,2,0,0.0,11,1,254
