router,time
3,628204
11,628205
0,628206
0,628207
2,628207
7,628208
15,628209
1,628210
3,628211
1,628211
11,628212
2,628214
2,628215
7,628215
15,628216
3,628218
11,628219
3,628219
7,628222
7,628223
15,628223
11,628226
11,628227
15,628230
15,628231
15,628266
14,628270
13,628274
12,628278
8,628282
4,628286
15,628288
15,628289
0,628290
15,628290
15,628291
14,628292
14,628293
14,628294
15,628295
14,628295
13,628296
13,628297
13,628298
14,628299
13,628299
12,628300
12,628301
12,628302
13,628303
12,628303
8,628304
8,628305
8,628306
12,628307
8,628307
4,628308
4,628309
4,628310
8,628311
4,628311
0,628312
0,628313
0,628314
4,628315
0,628315
0,628319
0,629990
1,629994
0,629997
2,629998
1,630001
3,630002
0,630004
2,630005
1,630008
3,630009
0,630011
2,630012
1,630015
3,630016
0,630018
0,630019
2,630019
1,630022
3,630023
1,630023
2,630026
2,630027
3,630030
3,630031
3,630066
2,630070
1,630074
0,630078
3,630088
3,630089
3,630090
3,630091
2,630092
2,630093
2,630094
3,630095
2,630095
1,630096
1,630097
1,630098
2,630099
1,630099
0,630100
0,630101
0,630102
1,630103
0,630103
0,630107
0,630178
1,630182
0,630185
2,630186
1,630189
3,630190
0,630192
2,630193
1,630196
3,630197
0,630199
2,630200
1,630203
3,630204
0,630206
0,630207
2,630207
1,630210
3,630211
1,630211
2,630214
2,630215
3,630218
3,630219
3,630254
2,630258
1,630262
0,630266
3,630276
3,630277
3,630278
3,630279
2,630280
2,630281
2,630282
3,630283
2,630283
1,630284
1,630285
1,630286
2,630287
1,630287
0,630288
0,630289
0,630290
1,630291
0,630291
0,630295
0,630488
1,630492
0,630495
2,630496
1,630499
0,630502
2,630503
1,630506
0,630509
2,630510
1,630513
0,630516
0,630517
2,630517
1,630520
1,630521
2,630524
2,630525
2,630560
1,630564
0,630568
2,630582
2,630583
2,630584
2,630585
1,630586
1,630587
1,630588
2,630589
1,630589
0,630590
0,630591
0,630592
1,630593
0,630593
0,630597
0,632478
1,632482
0,632485
2,632486
1,632489
3,632490
0,632492
2,632493
1,632496
3,632497
0,632499
2,632500
1,632503
3,632504
0,632506
0,632507
2,632507
1,632510
3,632511
1,632511
2,632514
2,632515
3,632518
3,632519
3,632554
2,632558
1,632562
0,632566
3,632576
3,632577
3,632578
3,632579
2,632580
2,632581
2,632582
3,632583
2,632583
1,632584
1,632585
1,632586
2,632587
1,632587
0,632588
0,632589
0,632590
1,632591
0,632591
0,632595
0,634476
4,634480
0,634483
4,634487
0,634490
4,634494
0,634497
4,634501
0,634504
0,634505
4,634508
4,634509
4,634544
0,634548
4,634566
4,634567
4,634568
4,634569
0,634570
0,634571
0,634572
4,634573
0,634573
0,634577
0,636458
1,636462
0,636465
5,636466
1,636469
0,636472
5,636473
1,636476
0,636479
5,636480
1,636483
0,636486
0,636487
5,636487
1,636490
1,636491
5,636494
5,636495
5,636530
4,636534
0,636538
5,636552
5,636553
5,636554
5,636555
4,636556
4,636557
4,636558
5,636559
4,636559
0,636560
0,636561
0,636562
4,636563
0,636563
0,636567
0,638448
1,638452
0,638455
2,638456
1,638459
6,638460
0,638462
2,638463
1,638466
6,638467
0,638469
2,638470
