time_intervals,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,target
11400,6,1,1,1,5,5,0,1,0,0,0,1,0,0,4,6,1
11500,11,6,6,0,5,0,6,0,5,0,6,0,5,5,1,0,1
11600,9,0,0,0,8,0,0,0,6,6,6,0,0,0,0,0,1
11700,10,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1
11800,6,5,6,0,1,0,6,0,1,0,6,0,1,1,7,0,1
11900,6,1,1,1,5,0,0,1,5,0,0,1,5,5,5,1,1
12000,6,1,1,0,5,0,1,0,5,0,1,0,5,5,6,5,1
12100,5,0,0,0,5,0,0,0,5,0,0,0,5,5,5,0,1
12200,7,7,7,6,0,0,0,0,0,0,0,0,0,0,0,0,1
12300,6,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1
12400,6,1,1,3,5,0,0,0,0,0,0,0,0,0,0,0,1
12500,11,6,5,3,5,6,0,0,0,0,0,0,0,0,0,0,1
12600,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1
12700,1,1,1,0,0,4,6,0,0,0,0,0,0,0,0,0,1
12800,11,6,6,0,5,1,6,0,0,0,0,0,0,0,0,0,1
12900,7,1,0,0,6,6,6,0,0,0,0,0,0,0,0,0,1
13000,11,11,6,0,0,0,6,0,0,0,6,0,0,0,0,0,1
13100,7,1,0,0,6,0,0,0,6,6,6,0,0,0,0,0,1
13200,6,1,1,1,5,6,0,1,0,0,0,1,0,0,0,1,1
13300,6,1,1,0,5,0,0,0,5,0,0,0,5,5,5,5,1
13400,11,11,11,0,0,0,6,0,0,0,0,0,0,0,0,0,1
13500,6,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,1
13600,6,1,1,1,5,5,5,6,0,0,0,0,0,0,0,0,1
13700,6,1,1,1,5,5,5,6,0,0,0,0,0,0,0,0,1
13800,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13900,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14000,7,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,1
14100,11,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14200,6,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14300,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1
14400,7,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,1
14500,11,6,0,0,5,6,0,0,5,6,0,0,0,0,0,0,1
14600,7,1,0,0,6,1,0,0,6,6,0,0,0,0,0,0,1
14700,11,6,0,0,5,11,0,0,0,6,0,0,0,0,0,0,1
14800,6,0,0,0,6,0,0,0,6,6,0,0,0,0,0,0,1
14900,6,1,1,0,5,5,6,0,0,0,0,0,0,0,0,0,1
15000,6,6,6,6,0,0,0,6,0,0,0,0,0,0,0,0,1
15100,7,1,1,1,6,6,6,6,0,0,0,0,0,0,0,0,1
15200,9,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1
15300,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15400,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15500,2,1,1,1,0,0,0,1,4,0,0,1,5,5,5,6,1
15600,6,1,1,0,5,0,1,0,1,0,1,0,0,0,0,0,1
15700,11,6,6,6,5,0,0,0,5,5,5,0,0,0,0,0,1
15800,10,6,6,6,3,0,0,0,0,0,0,0,0,0,0,0,1
15900,9,1,0,0,9,1,0,0,0,0,0,0,0,0,0,0,1
16000,11,4,4,0,5,5,3,0,0,0,0,0,0,0,0,0,1
16100,6,2,2,0,6,6,9,0,0,0,0,0,0,0,0,0,1
16200,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16300,5,0,0,0,5,0,1,0,5,0,1,0,5,5,6,0,1
16400,6,1,0,0,5,1,0,0,5,1,0,0,5,6,0,0,1
16500,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1
16600,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
16700,5,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,1
16800,6,1,1,1,5,5,5,6,0,0,0,0,0,0,0,0,1
16900,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
17000,5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,1
17100,6,1,0,0,5,1,0,0,5,6,0,0,0,0,0,0,1
17200,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17300,5,0,0,0,5,0,1,0,5,5,6,0,0,0,0,0,1
17400,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
17500,5,0,0,0,5,0,0,0,5,5,5,5,0,0,0,0,1
17600,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,1
17700,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
17800,5,0,0,0,5,0,0,0,5,0,0,0,5,5,0,0,1
17900,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
18000,5,0,0,0,5,0,0,0,5,0,0,0,5,5,5,0,1
18100,1,1,1,1,4,0,0,1,5,0,0,1,5,5,5,6,1
18200,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
18300,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18400,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18500,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18600,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18700,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1
18800,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
18900,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1
19000,6,1,0,0,5,6,0,0,0,0,0,0,0,0,0,0,1
19100,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
19200,5,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,1
19300,6,6,6,6,0,0,0,6,0,0,0,0,0,0,0,0,1
19400,6,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,1
19500,6,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,1
19600,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
19700,5,0,0,0,5,0,0,0,5,5,0,0,0,0,0,0,1
19800,1,1,1,0,0,0,1,0,0,4,6,0,0,0,0,0,1
19900,5,0,0,0,5,0,0,0,5,1,0,0,0,0,0,0,1
20000,6,1,1,1,5,0,0,1,5,5,5,6,0,0,0,0,1
20100,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
20200,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,1
20300,1,1,0,0,4,1,0,0,5,1,0,0,5,6,0,0,1
20400,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20500,5,1,1,0,5,0,1,0,5,0,1,0,5,5,6,0,1
20600,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1
