Time,Router
1314245,14
1314280,14
1314284,13
1314288,12
1314292,8
1314296,4
1314300,0
1314302,14
1314303,14
1314304,14
1314305,14
1314306,13
1314307,13
1314308,13
1314309,14
1314309,13
1314310,12
1314311,12
1314312,12
1314313,13
1314313,12
1314314,8
1314315,8
1314316,8
1314317,12
1314317,8
1314318,4
1314319,4
1314320,4
1314321,8
1314321,4
1314322,0
1314323,0
1314324,0
1314325,4
1314325,0
1314329,0
1318640,0
1318644,1
1318647,0
1318648,2
1318651,1
1318652,3
1318654,0
1318655,2
1318656,7
1318658,1
1318659,3
1318660,11
1318661,0
1318662,2
1318663,7
1318664,15
1318665,1
1318666,3
1318667,11
1318668,0
1318669,0
1318669,2
1318670,7
1318671,15
1318672,1
1318673,3
1318673,1
1318674,11
1318676,2
1318677,2
1318677,7
1318678,15
1318680,3
1318681,11
1318681,3
1318684,7
1318685,7
1318685,15
1318688,11
1318689,11
1318692,15
1318693,15
1318728,15
1318732,14
1318736,13
1318740,12
1318744,8
1318748,4
1318750,15
1318751,15
1318752,0
1318752,15
1318753,15
1318754,14
1318755,14
1318756,14
1318757,15
1318757,14
1318758,13
1318759,13
1318760,13
1318761,14
1318761,13
1318762,12
1318763,12
1318764,12
1318765,13
1318765,12
1318766,8
1318767,8
1318768,8
1318769,12
1318769,8
1318770,4
1318771,4
1318772,4
1318773,8
1318773,4
1318774,0
1318775,0
1318776,0
1318777,4
1318777,0
1318781,0
1322578,0
1322582,1
1322585,0
1322586,2
1322589,1
1322592,0
1322593,2
1322596,1
1322599,0
1322600,2
1322603,1
1322606,0
1322607,0
1322607,2
1322610,1
1322611,1
1322614,2
1322615,2
1322650,2
1322654,1
1322658,0
1322672,2
1322673,2
1322674,2
1322675,2
1322676,1
1322677,1
1322678,1
1322679,2
1322679,1
1322680,0
1322681,0
1322682,0
1322683,1
1322683,0
1322687,0
1322888,0
